WeatherPy_Database.csv,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
292,Kamen-Rybolov,RU,44.7481,132.0403,44.06,67,100,3.49,overcast clouds
293,Margate,GB,51.3813,1.3862,53.69,42,74,8.99,broken clouds
294,Castelo,BR,-20.6036,-41.1847,87.73,62,99,1.5,overcast clouds
295,Buraydah,SA,26.326,43.975,97.25,7,0,17.78,clear sky
296,Olafsvik,IS,64.8945,-23.7142,34.72,98,100,25.01,snow
297,Karpogory,RU,64.0019,44.4451,42.42,95,100,9.57,overcast clouds
298,Palaikastron,GR,35.2,26.25,64.81,70,100,13.44,overcast clouds
299,Nome,US,64.5011,-165.4064,23.07,93,100,6.91,overcast clouds
300,Kupino,RU,54.3663,77.2981,32.7,76,15,7.63,few clouds
301,Raudeberg,NO,61.9875,5.1352,38.95,87,100,29.77,overcast clouds
302,Qaqortoq,GL,60.7167,-46.0333,32.59,61,6,1.9,clear sky
303,Grand Gaube,MU,-20.0064,57.6608,81.0,76,1,4.0,clear sky
304,Berdigestyakh,RU,62.0989,126.6992,4.82,99,40,2.51,scattered clouds
305,Dunedin,NZ,-45.8742,170.5036,55.8,61,67,8.01,broken clouds
306,Bataipora,BR,-22.2953,-53.2711,82.56,63,94,2.73,overcast clouds
307,Naron,ES,43.5167,-8.1528,70.56,63,96,7.16,overcast clouds
308,Antalaha,MG,-14.9003,50.2788,80.02,79,97,14.45,light rain
309,San Javier,ES,37.8063,-0.8374,79.47,41,0,13.0,clear sky
310,Verkhnyaya Inta,RU,65.9811,60.3094,30.4,82,78,9.51,broken clouds
311,Ternate,ID,0.8,127.4,81.59,79,95,6.73,overcast clouds
312,Tocopilla,CL,-22.092,-70.1979,69.26,63,0,8.32,clear sky
313,Songkhla,TH,6.8333,100.6667,80.65,89,26,2.55,scattered clouds
314,Tiksi,RU,71.6872,128.8694,-10.46,100,100,3.27,overcast clouds
315,Zambezi,ZM,-13.5432,23.1047,75.63,75,55,6.46,light rain
316,Katobu,ID,-4.9408,122.5276,75.56,91,100,2.84,overcast clouds
317,Srednekolymsk,RU,67.45,153.6833,-16.08,98,78,6.08,broken clouds
318,Sola,VU,-13.8833,167.55,82.72,71,29,14.72,scattered clouds
319,Artyom,AZ,40.4723,50.333,53.74,85,100,15.88,overcast clouds
320,Vallenar,CL,-28.5708,-70.7581,69.48,48,0,3.74,clear sky
321,Nalut,LY,30.3333,10.85,84.24,15,0,10.18,clear sky
322,Okhotsk,RU,59.3833,143.3,17.56,94,100,4.36,overcast clouds
323,Volkhov,RU,59.9258,32.3382,42.75,76,100,10.42,overcast clouds
324,Biggar,GB,55.6167,-3.5167,47.71,45,100,11.41,overcast clouds
325,Palmer,US,42.1584,-72.3287,53.65,90,100,0.0,overcast clouds
326,Honiara,SB,-9.4333,159.95,77.61,85,63,5.14,broken clouds
327,Sibolga,ID,1.7427,98.7792,78.57,82,98,3.2,moderate rain
328,Paso De Los Toros,UY,-32.8167,-56.5167,72.93,66,0,6.89,clear sky
329,Kavieng,PG,-2.5744,150.7967,81.18,78,85,4.81,overcast clouds
330,Kruisfontein,ZA,-34.0033,24.7314,64.89,75,93,16.53,light rain
331,Koumac,NC,-20.5667,164.2833,77.65,88,86,7.65,overcast clouds
332,Malakal,SS,9.5334,31.6605,104.45,17,72,5.32,broken clouds
333,Itarema,BR,-2.9248,-39.9167,84.04,72,26,12.28,scattered clouds
334,Nemuro,JP,43.3236,145.575,38.35,82,41,10.07,scattered clouds
335,Pangai,TO,-19.8,-174.35,81.27,73,10,5.14,clear sky
336,Sonipat,IN,28.9833,77.0167,100.4,7,0,7.34,clear sky
337,Kukuna,SL,9.4,-12.6667,103.84,26,35,1.83,scattered clouds
338,Atambua,ID,-9.1061,124.8925,72.73,89,93,4.81,overcast clouds
339,Saint Anthony,US,45.0205,-93.218,38.08,55,0,3.44,clear sky
340,Elizabeth City,US,36.2946,-76.2511,53.02,69,75,7.0,broken clouds
341,Sarkand,KZ,45.41,79.9186,54.7,45,100,5.68,overcast clouds
342,Kununurra,AU,-15.7667,128.7333,71.58,73,27,3.44,scattered clouds
